550042643;AeroPlan Turbine Oil 560 1*55ugl;001A0085;AeroPlan Turbine Oil 560;001A20;AeroPlan;203;Aviation Lubricants;B2B;syn;208.197;KG;D236;3rd party;2;active;nan;import;import;993.0;206.74;non-ED;Drum
550042206;GOCA AO 80W-90 1*209L;001E9777;GOCA AO 80W-90;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;209.0;L;D236;D133;2;active;for MD;import;import;904.0;188.94;non-ED;Drum
550042231;GOCA AO 80W-90 1*209L;001E9777;GOCA AO 80W-90;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;209.0;L;R037;R037;2;active;nan;import;Local;904.0;188.94;non-ED;Drum
550046836;GOCA Parts AO 85W-140 1*209L;001G2909;GOCA Parts AO 85W-140;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;209.0;L;D236;D133;2;active;nan;import;import;908.0;189.77;non-ED;Drum
550046835;GOCA Parts AO 85W-140 1*20L;001G2909;GOCA Parts AO 85W-140;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;20.0;L;D236;D133;2;active;nan;import;import;908.0;18.16;non-ED;Pail
550046675;GOCA Parts AO LS 80W-90 1*209L;001G2910;GOCA Parts AO LS 80W-90;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;209.0;L;I250;I250;4;inactive;nan;import;import;907.0;189.56;non-ED;Drum
550046674;GOCA Parts AO LS 80W-90 1*20L;001G2910;GOCA Parts AO LS 80W-90;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;20.0;L;I250;I250;4;inactive;nan;import;import;907.0;18.14;non-ED;Pail
550056840;GOCA Parts AO LS 85W-90 1*209L;001I5680;GOCA Parts AO LS 85W-90;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;209.0;L;I250;I250;2;active;nan;import;import;907.0;189.56;non-ED;Drum
550056839;GOCA Parts AO LS 85W-90 1*20L;001I5680;GOCA Parts AO LS 85W-90;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;20.0;L;I250;I250;2;active;nan;import;import;907.0;18.14;non-ED;Pail
550046833;GOCA Parts EO 15W-40 1*209L;001G2608;GOCA Parts EO 15W-40;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;209.0;L;D236;F477;2;active;for MD;import;import;888.0;185.59;non-ED;Drum
550046834;GOCA Parts EO 15W-40 1*209L;001G2608;GOCA Parts EO 15W-40;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;209.0;L;R037;R037;2;active;nan;Local;Local;888.0;185.59;ED;Drum
550046830;GOCA Parts EO 15W-40 1*20L;001G2608;GOCA Parts EO 15W-40;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;20.0;L;F477;F254;4;inactive;nan;import;import;888.0;17.76;non-ED;Pail
550048368;GOCA Parts EO 15W-40 1*20L;001G2608;GOCA Parts EO 15W-40;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;min;20.0;L;R037;R037;2;active;nan;Local;Local;888.0;17.76;ED;Pail
550055018;GOCA Parts HPEO 5W-30 1*209L;001I2394;GOCA Parts HPEO 5W-30;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;syn;209.0;L;D236;D133;2;active;nan;import;import;845.0;176.61;non-ED;Drum
550055017;GOCA Parts HPEO 5W-30 1*20L;001I2394;GOCA Parts HPEO 5W-30;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;syn;20.0;L;D236;D133;2;active;nan;import;import;845.0;16.9;non-ED;Pail
550046940;GOCA Parts Hydraulic Oil 46 1*209L;001G3458;GOCA Parts Hydraulic Oil 46;001Z73;GOCA GPO;202;Industrial Lubricants;GPO;min;209.0;L;D236;D133;2;active;nan;import;import;879.0;183.71;non-ED;Drum
550046808;GOCA Parts Hydraulic Oil 68 1*209L;001G3005;GOCA Parts Hydraulic Oil 68;001Z73;GOCA GPO;202;Industrial Lubricants;GPO;min;209.0;L;D236;D133;2;active;nan;import;import;860.0;179.74;non-ED;Drum
550046798;GOCA Parts Premium EO 10W-40 1*209L;001G2606;GOCA Parts Premium EO 10W-40;001Z73;GOCA GPO;201;Automotive Lubricants;GPO;semi syn;209.0;L;F477;F254;4;inactive;nan;import;import;882.0;184.34;non-ED;Drum
